,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9
3,좌2, ,좌안,4구,유땅, ,4구,삼진, ,4,2,0,4,0.250,심정수,구장 : 수원,"관중 : 2,016",2004.08.03(화),개시 : 18:29,경기시간 : 3:28,현대,LG,
4,중2, ,좌안,좌안,좌안, ,우중안, , ,5,5,6,1,0.366,브룸바,구장 : 수원,"관중 : 2,016",2004.08.03(화),개시 : 18:29,경기시간 : 3:28,현대,LG,
5, , , , , , , ,삼진, ,1,0,0,1,0.111,정수성,구장 : 수원,"관중 : 2,016",2004.08.03(화),개시 : 18:29,경기시간 : 3:28,현대,LG,
6,一비, ,좌중안,4구,삼진, , , , ,3,1,1,1,0.285,이숭용,구장 : 수원,"관중 : 2,016",2004.08.03(화),개시 : 18:29,경기시간 : 3:28,현대,LG,
7, , , , , , ,중안, , ,1,1,1,0,0.222,김일경,구장 : 수원,"관중 : 2,016",2004.08.03(화),개시 : 18:29,경기시간 : 3:28,현대,LG,
8, , , , , , , , , ,0,0,0,0,0.318,전근표,구장 : 수원,"관중 : 2,016",2004.08.03(화),개시 : 18:29,경기시간 : 3:28,현대,LG,
9, ,유안,투땅,중안, ,좌안,二비, , ,5,3,2,2,0.306,박진만,구장 : 수원,"관중 : 2,016",2004.08.03(화),개시 : 18:29,경기시간 : 3:28,현대,LG,
10, , , , , , , , , ,0,0,0,0,0.176,서한규,구장 : 수원,"관중 : 2,016",2004.08.03(화),개시 : 18:29,경기시간 : 3:28,현대,LG,
11, ,삼진,좌비,4구, ,二땅,중안, , ,4,1,0,1,0.268,송지만,구장 : 수원,"관중 : 2,016",2004.08.03(화),개시 : 18:29,경기시간 : 3:28,현대,LG,
12, ,二땅, ,중비/ 유안, ,좌희비, , , ,3,1,2,1,0.212,김동수,구장 : 수원,"관중 : 2,016",2004.08.03(화),개시 : 18:29,경기시간 : 3:28,현대,LG,
13, , , , , , ,三파, , ,1,0,0,0,0.293,강귀태,구장 : 수원,"관중 : 2,016",2004.08.03(화),개시 : 18:29,경기시간 : 3:28,현대,LG,
14, , ,좌홈,우비/ 우2, ,중안,一비, , ,5,3,3,1,0.277,채종국,구장 : 수원,"관중 : 2,016",2004.08.03(화),개시 : 18:29,경기시간 : 3:28,현대,LG,
0,三땅,二땅, ,一직, , ,一희번,투번, ,5,1,2,0,0.270,이종범,구장 : 잠실,"관중 : 12,911",2004.08.03(화),개시 : 18:30,경기시간 : 4:02,KIA,두산,좌안
1,좌비, ,유땅, ,우비, ,4구,三땅, ,5,1,0,1,0.249,김종국,구장 : 잠실,"관중 : 12,911",2004.08.03(화),개시 : 18:30,경기시간 : 4:02,KIA,두산,三안
2,4구, ,4구, ,우비, ,유비, ,二땅,4,0,0,1,0.297,장성호,구장 : 잠실,"관중 : 12,911",2004.08.03(화),개시 : 18:30,경기시간 : 4:02,KIA,두산,좌비
3,투실, ,유비, ,중비, ,4구, ,우비,4,0,0,1,0.282,심재학,구장 : 잠실,"관중 : 12,911",2004.08.03(화),개시 : 18:30,경기시간 : 4:02,KIA,두산, 
4,우안, ,4구, , ,중안,우중3, ,우비,4,3,4,0,0.291,홍세완,구장 : 잠실,"관중 : 12,911",2004.08.03(화),개시 : 18:30,경기시간 : 4:02,KIA,두산, 
