,name,year,team,position,birth,height,weight,age,war,g,ts,ab,r1,h,b2,b3,hr,tb,rbi,sb,cs,bb,hbp,bb4,so,gdp,ht,hb,avg,obp,slg,ops
1671,서성종,2010,LG,C,1983-06-17,182,104,28,-0.04,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1672,김재우,2010,한화,RF,1991-10-22,181,72,20,-0.04,5,5,5,3,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.2,0.2,0.2,0.4
1673,이인행,2019,KIA,RF,1991-06-30,185,80,29,-0.04,9,20,16,1,3,1,0,0,4,2,0,0,2,1,0,6,1,1,0,0.188,0.316,0.25,0.5660000000000001
1674,이인행,2017,KIA,1B,1991-06-30,185,80,27,-0.08,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1675,이인행,2015,KIA,SS,1991-06-30,185,80,25,-0.37,20,33,30,0,6,0,0,0,6,0,0,0,2,0,0,9,0,1,0,0.2,0.25,0.2,0.45
1676,윤효섭,2010,KIA,CF,1990-10-24,170,72,21,-0.04,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1677,김철호,2019,NC,2B,1998-02-06,182,87,22,-0.05,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1678,최용제,2016,두산,C,1991-07-12,182,90,26,-0.05,4,11,9,0,2,0,0,0,2,1,0,0,1,0,0,2,1,1,0,0.222,0.3,0.222,0.522
1679,해즐베이커,2019,KIA,CF,1987-08-14,190,86,33,-0.05,11,46,41,5,6,2,0,2,14,5,1,1,4,1,0,18,0,0,0,0.146,0.239,0.341,0.581
1680,조성우,2014,SK,DH,1988-02-08,188,90,27,-0.05,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1681,조성우,2013,SK,1B,1988-02-08,188,90,26,-0.15,54,111,98,17,20,0,0,4,32,11,6,1,10,0,0,23,0,2,1,0.204,0.275,0.327,0.602
1682,송승환,2019,두산,DH,2000-10-28,183,93,20,-0.05,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1683,김성윤,2018,삼성,CF,1999-02-02,163,62,20,-0.05,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1684,김성윤,2017,삼성,LF,1999-02-02,163,62,19,-0.1,22,14,12,3,1,0,0,1,4,2,0,0,2,0,0,7,0,0,0,0.083,0.214,0.333,0.5479999999999999
1685,이호신,2012,KIA,LF,1984-05-19,176,72,29,-0.05,27,12,10,3,1,0,1,0,3,2,1,0,1,0,0,4,0,0,1,0.1,0.16699999999999998,0.3,0.467
1686,이호신,2017,KIA,RF,1984-05-19,176,72,34,-0.1,12,8,7,3,1,0,0,0,1,0,0,1,1,0,0,3,1,0,0,0.14300000000000002,0.25,0.14300000000000002,0.393
1687,이호신,2007,KIA,LF,1984-05-19,176,72,24,-0.16,21,10,10,1,1,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0.1,0.1,0.1,0.2
1688,이호신,2008,KIA,CF,1984-05-19,176,72,25,-0.16,10,38,33,4,7,2,0,0,9,1,2,1,0,1,0,9,0,4,0,0.212,0.235,0.273,0.508
