,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,HP,SO,SB,CS,SH,GDP,E,컴프야P,ground
2016년 05월 24일,40,39,11,9,2,0,0,5,4,1,0,9,2,0,0,0,0,73,잠실
2016년 05월 24일,36,32,5,4,1,0,0,1,1,4,0,8,0,1,0,0,0,-48,고척
2016년 05월 24일,37,32,8,4,2,0,2,4,4,4,0,6,0,0,1,0,0,172,대구
2016년 05월 24일,,,,,,,,,,,,,,,,,,,울산
2016년 05월 24일,,,,,,,,,,,,,,,,,,,마산
2016년 05월 25일,46,40,15,10,3,0,2,10,10,5,1,9,0,0,0,2,0,307,잠실
2016년 05월 25일,42,37,14,9,3,0,2,8,8,3,0,5,0,0,2,1,1,287,고척
2016년 05월 25일,39,33,9,6,1,1,1,3,3,5,0,9,0,0,1,1,1,82,대구
2016년 05월 25일,35,30,7,7,0,0,0,1,1,4,0,7,1,2,1,1,0,0,울산
2016년 05월 25일,31,26,1,0,1,0,0,0,0,4,0,14,1,1,1,0,1,-126,마산
2016년 05월 26일,40,36,11,8,3,0,0,3,3,3,1,8,0,0,0,2,0,66,잠실
2016년 05월 26일,44,38,13,11,2,0,0,7,5,5,1,5,0,1,0,1,0,157,고척
2016년 05월 26일,42,40,15,10,3,0,2,9,9,1,0,7,1,0,1,1,0,312,대구
2016년 05월 26일,37,34,8,5,1,0,2,4,4,3,0,3,2,1,0,0,0,138,울산
2016년 05월 26일,51,43,18,12,2,0,4,9,9,5,1,11,0,0,2,2,0,414,마산
2016년 05월 27일,37,36,10,8,2,0,0,1,1,1,0,6,0,0,0,0,0,10,잠실
2016년 05월 27일,34,28,7,6,1,0,0,2,2,3,3,9,1,2,0,2,2,2,인천
2016년 05월 27일,30,30,4,4,0,0,0,0,0,0,0,5,0,0,0,1,0,-92,수원
2016년 05월 27일,39,33,11,8,1,1,1,7,7,4,0,5,0,1,2,2,0,195,대전
2016년 05월 27일,53,41,18,14,4,0,0,13,13,8,1,2,2,0,3,0,1,433,광주
2016년 05월 28일,35,33,7,4,1,1,1,2,2,2,0,8,2,0,0,1,0,60,잠실
2016년 05월 28일,46,42,17,8,4,1,4,15,15,3,0,4,0,0,1,1,0,541,인천
2016년 05월 28일,40,35,11,10,0,1,0,3,3,4,0,6,2,0,1,2,1,110,수원
2016년 05월 28일,43,31,9,6,1,0,2,6,6,11,0,2,0,1,1,3,1,218,대전
2016년 05월 28일,55,39,16,9,3,0,4,13,12,12,2,5,1,0,2,3,1,533,광주
2016년 05월 29일,50,43,20,12,8,0,0,16,15,4,1,6,1,1,2,1,1,458,잠실
2016년 05월 29일,46,43,16,11,4,0,1,9,8,1,0,7,2,0,2,0,1,286,인천
2016년 05월 29일,36,33,8,5,1,0,2,5,5,2,0,4,2,0,1,2,1,181,수원
2016년 05월 29일,33,32,7,4,2,0,1,2,2,0,1,8,0,0,0,1,0,21,대전
2016년 05월 29일,45,38,14,10,3,0,1,9,8,6,0,6,0,1,1,1,1,271,광주
2016년 05월 31일,54,44,9,7,2,0,0,6,3,9,0,8,3,0,1,1,2,56,잠실
2016년 05월 31일,42,29,6,3,1,0,2,4,4,9,0,2,0,0,4,1,0,217,고척
2016년 05월 31일,37,32,10,9,0,0,1,4,4,2,0,9,1,0,3,1,0,107,대전
2016년 05월 31일,41,35,10,8,0,0,2,5,5,6,0,5,1,0,0,1,2,156,사직
2016년 05월 31일,40,36,8,4,3,0,1,6,5,4,0,16,0,0,0,0,0,90,마산
2016년 06월 01일,38,33,9,8,1,0,0,5,5,3,2,3,2,0,0,1,0,131,잠실
2016년 06월 01일,35,31,8,4,2,0,2,4,4,1,1,5,1,1,2,1,1,135,고척
2016년 06월 01일,43,39,15,12,2,0,1,7,7,1,1,8,2,0,2,0,0,273,대전
2016년 06월 01일,34,28,4,4,0,0,0,0,0,4,0,6,0,0,2,1,0,-50,사직
2016년 06월 01일,36,31,7,5,1,0,1,1,1,5,0,7,0,0,0,1,3,-9,마산
2016년 06월 02일,34,29,6,4,2,0,0,1,1,3,0,8,0,0,2,2,2,-35,잠실
2016년 06월 02일,51,44,20,14,4,0,2,14,14,4,0,5,1,0,3,1,0,496,고척
2016년 06월 02일,32,30,4,3,0,0,1,1,1,2,0,7,0,0,0,1,1,-35,대전
2016년 06월 02일,38,34,8,8,0,0,0,2,2,2,0,7,0,0,2,2,1,9,사직
2016년 06월 02일,40,30,5,4,1,0,0,3,3,8,0,9,0,0,2,1,0,18,마산
2016년 06월 03일,32,29,4,4,0,0,0,1,1,2,1,5,0,1,0,1,0,-52,잠실
2016년 06월 03일,49,41,12,10,1,0,1,2,2,6,1,5,0,1,1,3,1,94,수원
2016년 06월 03일,50,45,9,8,0,0,1,4,4,4,1,13,3,1,0,0,2,43,대구
2016년 06월 03일,42,38,14,10,3,0,1,9,9,4,0,2,4,0,0,2,0,320,광주
2016년 06월 03일,36,30,4,0,3,0,1,5,5,4,2,11,1,0,0,1,0,106,사직
2016년 06월 04일,36,34,9,4,1,1,3,6,6,1,0,8,0,0,1,1,1,199,잠실
2016년 06월 04일,51,43,19,14,3,1,1,13,13,4,1,5,1,0,3,0,0,461,수원
2016년 06월 04일,41,37,12,7,4,0,1,8,8,2,1,9,0,0,1,0,1,214,대구
2016년 06월 04일,,,,,,,,,,,,,,,,,,,광주
2016년 06월 04일,,,,,,,,,,,,,,,,,,,사직
2016년 06월 05일,31,31,7,6,1,0,0,0,0,0,0,3,0,2,0,1,1,-61,잠실
