,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11,12
7, , , , , ,유2병, , , ,1,0,0,0,0.277,김종훈,구장 : 시민,"관중 : 2,398",2002.10.12(토),개시 : 17:00,경기시간 : 3:15,삼성,현대,,,,
8, , , , , , , , , ,0,0,0,0,0.115,임재철,구장 : 시민,"관중 : 2,398",2002.10.12(토),개시 : 17:00,경기시간 : 3:15,삼성,현대,,,,
9, ,1유병,1파, ,2땅, ,중비, , ,4,0,0,0,0.278,진갑용,구장 : 시민,"관중 : 2,398",2002.10.12(토),개시 : 17:00,경기시간 : 3:15,삼성,현대,,,,
10, ,4구, ,우중2,삼진, ,3땅, , ,3,1,0,1,0.243,박정환,구장 : 시민,"관중 : 2,398",2002.10.12(토),개시 : 17:00,경기시간 : 3:15,삼성,현대,,,,
0,1땅,1땅,중비, ,투땅, ,3파, ,투땅,6,0,1,0,0.222,조성환,구장 : 대전,관중 : 496,2002.10.12(토),개시 : 17:00,경기시간 : 2:49,롯데,한화,,,,
1,우안,사구,삼진, ,좌비, , ,삼진, ,4,1,0,2,0.188,이우민,구장 : 대전,관중 : 496,2002.10.12(토),개시 : 17:00,경기시간 : 2:49,롯데,한화,,,,
2,4구,4구, ,4구, ,삼진, , , ,1,0,1,2,0.244,박정태,구장 : 대전,관중 : 496,2002.10.12(토),개시 : 17:00,경기시간 : 2:49,롯데,한화,,,,
3, , , , , , , ,4구, ,0,0,0,0,0.193,신명철,구장 : 대전,관중 : 496,2002.10.12(토),개시 : 17:00,경기시간 : 2:49,롯데,한화,,,,
4,중안,중희비, ,우안, ,3비, , , ,3,2,2,0,0.280,김응국,구장 : 대전,관중 : 496,2002.10.12(토),개시 : 17:00,경기시간 : 2:49,롯데,한화,,,,
5, , , , , , , ,좌중2, ,1,1,0,0,0.196,권오현,구장 : 대전,관중 : 496,2002.10.12(토),개시 : 17:00,경기시간 : 2:49,롯데,한화,,,,
6,중안,투안, ,중비, ,삼진, ,2땅, ,5,2,1,0,0.282,최기문,구장 : 대전,관중 : 496,2002.10.12(토),개시 : 17:00,경기시간 : 2:49,롯데,한화,,,,
7,32병, , , , , , , , ,1,0,0,0,0.216,이계성,구장 : 대전,관중 : 496,2002.10.12(토),개시 : 17:00,경기시간 : 2:49,롯데,한화,,,,
8, ,4구, ,삼진, , , , , ,1,0,1,0,0.257,이동욱,구장 : 대전,관중 : 496,2002.10.12(토),개시 : 17:00,경기시간 : 2:49,롯데,한화,,,,
9, , , , , , ,2땅, , ,1,0,0,0,0.125,윤재국,구장 : 대전,관중 : 496,2002.10.12(토),개시 : 17:00,경기시간 : 2:49,롯데,한화,,,,
10, , , , , , , ,1비, ,1,0,0,0,0.199,김태균,구장 : 대전,관중 : 496,2002.10.12(토),개시 : 17:00,경기시간 : 2:49,롯데,한화,,,,
11, ,우중안/ 4구, ,삼진, , ,2땅, ,삼진,4,1,1,1,0.258,박현승,구장 : 대전,관중 : 496,2002.10.12(토),개시 : 17:00,경기시간 : 2:49,롯데,한화,,,,
12, ,사구/ 삼진, , ,중안, ,3안, ,우비,4,2,0,1,0.205,김주찬,구장 : 대전,관중 : 496,2002.10.12(토),개시 : 17:00,경기시간 : 2:49,롯데,한화,,,,
13, ,우중안,유땅, ,1파, ,좌중안, ,좌안,5,3,0,1,0.256,김정현,구장 : 대전,관중 : 496,2002.10.12(토),개시 : 17:00,경기시간 : 2:49,롯데,한화,,,,
0,중안, ,3안, ,3땅, ,3땅, ,2땅,5,2,0,1,0.264,이범호,구장 : 대전,관중 : 496,2002.10.12(토),개시 : 17:00,경기시간 : 2:49,한화,롯데,,,,
1,1땅, ,중안, ,유땅, , ,삼진, ,4,1,0,0,0.205,김수연,구장 : 대전,관중 : 496,2002.10.12(토),개시 : 17:00,경기시간 : 2:49,한화,롯데,,,,
2,중비, ,우안, , ,2비, ,좌2, ,4,2,1,0,0.293,송지만,구장 : 대전,관중 : 496,2002.10.12(토),개시 : 17:00,경기시간 : 2:49,한화,롯데,,,,
3, , , , , , , , , ,0,0,0,0,0.200,조효상,구장 : 대전,관중 : 496,2002.10.12(토),개시 : 17:00,경기시간 : 2:49,한화,롯데,,,,
4,유땅, ,유땅, , ,중비, ,유땅, ,4,0,0,0,0.253,김태균,구장 : 대전,관중 : 496,2002.10.12(토),개시 : 17:00,경기시간 : 2:49,한화,롯데,,,,
5, ,좌비,우비, , , , , , ,2,0,0,0,0.246,장종훈,구장 : 대전,관중 : 496,2002.10.12(토),개시 : 17:00,경기시간 : 2:49,한화,롯데,,,,
6, , , , , ,3땅, , , ,1,0,0,0,0.000,정성열,구장 : 대전,관중 : 496,2002.10.12(토),개시 : 17:00,경기시간 : 2:49,한화,롯데,,,,
7, , , , , , , ,4구, ,0,0,0,0,0.283,데이비스,구장 : 대전,관중 : 496,2002.10.12(토),개시 : 17:00,경기시간 : 2:49,한화,롯데,,,,
8, , , , , , , , , ,0,0,0,0,0.000,김홍집,구장 : 대전,관중 : 496,2002.10.12(토),개시 : 17:00,경기시간 : 2:49,한화,롯데,,,,
9, ,좌안, , , , , , , ,1,1,0,0,0.246,이도형,구장 : 대전,관중 : 496,2002.10.12(토),개시 : 17:00,경기시간 : 2:49,한화,롯데,,,,
10, , , , , , , , , ,0,0,0,0,0.000,김대원,구장 : 대전,관중 : 496,2002.10.12(토),개시 : 17:00,경기시간 : 2:49,한화,롯데,,,,
